failure_description,failure_category,root_cause,action_plan
Control panel indicator lights flickering,Electrical,Faulty 24V DC power supply unit,Replace the power supply unit and check for wiring shorts
Electric motor running on two phases,Electrical,One phase lost due to a loose terminal in the MCC,Clean and tighten the terminal connections in the MCC
Control signal fluctuation (4-20mA),Electrical,Signal wire insulation damaged and touching the conduit,Identify the damaged wire section and replace it
Transformer humming louder than normal,Electrical,Loose core laminations due to age and thermal cycling,Perform a dissolved gas analysis (DGA) and plan for core tightening
Burned contacts on main contactor,Electrical,Frequent cycling of the motor beyond design limits,Install a VFD to reduce the number of start/stop cycles
Burned out heating element in oven 3,Electrical,Resistive heating wire thinning due to oxidation over time,Replace heating elements and inspect the contactor for arcing
Temperature transmitter reading 'Off Scale High',Electrical,Open circuit in the RTD sensor or wiring,Check the RTD for continuity and replace if the circuit is open
Intermittent failure of an infrared sensor,Electrical,Ambient light interference from a nearby window,Install an optical filter or shield the sensor from direct sunlight
Arcing in a high-voltage switchgear,Electrical,Partial discharge due to dust and moisture on insulators,Perform a professional cleaning and an ultrasonic discharge test
Control signal fluctuation (4-20mA),Electrical,Signal wire insulation damaged and touching the conduit,Identify the damaged wire section and replace it
Inverter drive faulting on overcurrent,Electrical,Motor insulation breakdown causing intermittent grounding,Perform insulation resistance test and replace motor if needed
Variable Frequency Drive (VFD) overheating,Electrical,Clogged cooling intake filter on the cabinet,Clean cabinet filters and ensure proper airflow in the room
Proximity sensor failing to detect targets,Electrical,Sensor head covered in metallic dust,Clean the sensor head and install a protective shield
Burnt out solenoid valve coil,Electrical,Voltage surge from a nearby lightning strike,Replace the coil and install a surge suppressor
Intermittent power loss in Office Block A,Electrical,Corroded main busbar connections,Clean busbars and apply anti-corrosion paste to joints
Random tripping of Circuit Breaker CB-04,Electrical,Loose connection at the terminal lug causing localized overheating,Tighten all terminal connections and perform thermal imaging inspection
Electric motor running on two phases,Electrical,One phase lost due to a loose terminal in the MCC,Clean and tighten the terminal connections in the MCC
Indicator lamp not working on the panel,Electrical,Blown incandescent bulb,Replace the bulb with a long-life LED version
Exhaust fan motor running backwards,Electrical,Phase reversal during recent electrical maintenance,Swap two phases at the motor terminal to correct the rotation
Intermittent power loss in Office Block A,Electrical,Corroded main busbar connections,Clean busbars and apply anti-corrosion paste to joints
Intermittent PLC communication error,Electrical,EMI noise on the communication cable from a VFD,Use a shielded communication cable and route it away from power lines
Intermittent signal loss from flow meter FM-201,Electrical,Corroded terminal connections in the junction box,Clean terminals and apply dielectric grease to prevent oxidation
Ground fault on a heat-tracing cable,Electrical,Cable damaged by physical impact during maintenance,Identify the fault location and repair using a splice kit
Control signal fluctuation (4-20mA),Electrical,Signal wire insulation damaged and touching the conduit,Identify the damaged wire section and replace it
Power factor correction capacitor failure,Electrical,Overheating due to harmonic distortion in the network,Install harmonic filters and replace damaged capacitors
Electric motor running hot,Electrical,Cooling fan shroud blocked by debris,Clear obstructions from the fan shroud and clean motor fins
Electric motor running hot,Electrical,Cooling fan shroud blocked by debris,Clear obstructions from the fan shroud and clean motor fins
Control cabinet overheating,Electrical,Cabinet cooling fan filter clogged with lint,Clean or replace the fan filter and check the thermostat
Intermittent power loss in Office Block A,Electrical,Corroded main busbar connections,Clean busbars and apply anti-corrosion paste to joints
Proximity sensor failing to detect targets,Electrical,Sensor head covered in metallic dust,Clean the sensor head and install a protective shield
Corroded busbars in an outdoor MCC,Electrical,Moisture ingress and lack of space heaters,Install cabinet space heaters and apply a protective coating to the busbars
Generator fail to start on auto-mode,Electrical,Dead starter battery due to faulty trickle charger,Replace battery and repair the charging circuit
Short circuit in outdoor junction box,Electrical,Water ingress through a degraded cable gland,Replace cable glands with IP68 rated versions and reseal the box
Lubrication pump motor burnout,Electrical,Phase imbalance in the power supply over 5%,Perform load balancing on the electrical distribution board
Temperature transmitter reading 'Off Scale High',Electrical,Open circuit in the RTD sensor or wiring,Check the RTD for continuity and replace if the circuit is open
Panel meter reading zero for voltage,Electrical,Blown potential transformer (PT) fuse,Replace the PT fuse and check for downstream shorts
Proximity sensor failing to detect targets,Electrical,Sensor head covered in metallic dust,Clean the sensor head and install a protective shield
Variable Frequency Drive (VFD) overheating,Electrical,Clogged cooling intake filter on the cabinet,Clean cabinet filters and ensure proper airflow in the room
Transformer oil leak at cooling fins,Electrical,Gasket embrittlement due to prolonged exposure to UV and heat,Replace gaskets with UV-resistant silicone material
Transformer humming louder than normal,Electrical,Loose core laminations due to age and thermal cycling,Perform a dissolved gas analysis (DGA) and plan for core tightening
PLC output module failing frequently,Electrical,Inductive kickback from a DC solenoid without a diode,Install a flyback diode across the solenoid coil
Valve V-12 failed to open upon remote command,Electrical,Solenoid coil burned out due to sustained overvoltage,"Replace solenoid, install surge protector, and check upstream voltage regulator"
Arcing in a high-voltage switchgear,Electrical,Partial discharge due to dust and moisture on insulators,Perform a professional cleaning and an ultrasonic discharge test
Intermittent power loss in Office Block A,Electrical,Corroded main busbar connections,Clean busbars and apply anti-corrosion paste to joints
Exhaust fan motor running backwards,Electrical,Phase reversal during recent electrical maintenance,Swap two phases at the motor terminal to correct the rotation
Intermittent failure of an infrared sensor,Electrical,Ambient light interference from a nearby window,Install an optical filter or shield the sensor from direct sunlight
PLC CPU went into STOP mode unexpectedly,Electrical,Internal power supply fluctuation caused by a failing capacitor,Replace PLC power supply module and install a dedicated UPS
Sudden motor stop on ventilation fan,Electrical,Blown fuse caused by a temporary phase-to-phase short,Replace fuse and inspect the motor junction box for moisture
Intermittent power loss in Office Block A,Electrical,Corroded main busbar connections,Clean busbars and apply anti-corrosion paste to joints
Erratic readings from pressure transmitter PT-40,Electrical,Ground loop interference from shared power supply,Install a signal isolator and ensure single-point grounding
