failure_description,failure_category,root_cause,action_plan
"Main conveyor drive chain snapped under load","Mechanical","Fatigue failure of link pins due to over-tensioning","Replace chain and install a tension monitoring sensor"
"Cooling water temperature exceeding setpoint","Process","Scale buildup in heat exchanger tubes reducing heat transfer","Perform chemical descaling and increase blowdown frequency"
"Intermittent signal loss from flow meter FM-201","Electrical","Corroded terminal connections in the junction box","Clean terminals and apply dielectric grease to prevent oxidation"
"Database query latency increased by 300%","IT Infrastructure","Missing index on high-traffic transaction table","Create required database indexes and optimize slow-running queries"
"Centrifuge high vibration during ramp down","Mechanical","Out-of-balance condition caused by uneven cake distribution","Adjust wash cycle parameters and inspect discharge scraper"
"Hydraulic oil overheating in unit HPU-2","Maintenance","Cooling fan motor failure on the oil-to-air heat exchanger","Replace fan motor and integrate a temperature alarm into the SCADA"
"PLC CPU went into STOP mode unexpectedly","Electrical","Internal power supply fluctuation caused by a failing capacitor","Replace PLC power supply module and install a dedicated UPS"
"Inconsistent product weight from filling line","Process","Air bubbles in the feed line due to a faulty suction seal","Replace suction line gaskets and install an air eliminator"
"Server RAID array reported multiple disk failures","IT Infrastructure","Backplane vibration from nearby heavy machinery","Install vibration isolation mounts for the server rack and replace disks"
"Valve actuator failing to reach full travel","Mechanical","Internal spring breakage due to corrosion from moist instrument air","Replace actuator spring and upgrade the instrument air dryer system"
"Electric motor noise on compressor C-12","Maintenance","Lack of grease in the non-drive end bearing","Implement an ultrasonic-assisted lubrication program"
"Erratic readings from pressure transmitter PT-40","Electrical","Ground loop interference from shared power supply","Install a signal isolator and ensure single-point grounding"
"Boiler trip due to low water level false alarm","Process","Fouling on the level probe surfaces causing false conductivity","Clean level probes weekly and implement a redundant ultrasonic sensor"
"Application crash on operator workstation","IT Infrastructure","Corrupted graphics driver after an unverified OS update","Roll back graphics driver and disable automatic OS updates on critical units"
"Leaking mechanical seal on centrifugal pump","Mechanical","Dry running caused by temporary loss of suction head","Install a dry-run protection switch and verify suction line integrity"
"Transformer humming louder than normal","Electrical","Loose core laminations due to age and thermal cycling","Perform a dissolved gas analysis (DGA) and plan for core tightening"
"Slow response of temperature control loop","Process","PID parameters poorly tuned for the current production rate","Perform auto-tuning of the PID loop during a steady-state run"
"Network latency spikes in the manufacturing VLAN","IT Infrastructure","Broadcast storm caused by a faulty network switch","Identify and replace the faulty switch and enable storm control"
"Steam pipe hammering during startup","Maintenance","Condensate accumulation due to a blocked steam trap","Clear the steam trap and revise the startup SOP for manual draining"
"Drive shaft misalignment on agitator A-05","Mechanical","Settlement of the tank foundation over time","Level the agitator base and perform a precision laser alignment"
"Sudden motor stop on ventilation fan","Electrical","Blown fuse caused by a temporary phase-to-phase short","Replace fuse and inspect the motor junction box for moisture"
"Excessive moisture in finished product","Process","Drier temperature dropping below the dew point setpoint","Inspect drier burners and recalibrate the moisture sensor"
"SCADA system unable to store historical data","IT Infrastructure","Log file reached the maximum size limit of 2GB","Archive old logs and configure circular logging with larger file limits"
"Worn teeth on planetary gearbox","Mechanical","Abrasive wear from metal particles in the lubricant","Change gear oil and install a magnetic drain plug to capture particles"
"Emergency light battery failure","Maintenance","End of life for lead-acid battery after 3 years","Replace all emergency light batteries and schedule annual load tests"
"Short circuit in outdoor junction box","Electrical","Water ingress through a degraded cable gland","Replace cable glands with IP68 rated versions and reseal the box"
"Reactor temperature runaway during batch","Process","Cooling water valve stuck in the 10% open position","Repair the valve positioner and add a bypass cooling line"
"HMI display flickering and losing color","IT Infrastructure","Loose VGA/HDMI cable connection at the rear of the panel","Secure the cable connections and use locking connectors if available"
"Pump impeller cavitation damage","Mechanical","Operating too far to the right of the pump curve","Install a flow orifice to maintain backpressure and limit flow"
"Burned out heating element in oven 3","Electrical","Resistive heating wire thinning due to oxidation over time","Replace heating elements and inspect the contactor for arcing"
"Inaccurate chemical dosing in Batch B-22","Process","Peristaltic pump tube ruptured due to chemical fatigue","Implement a proactive tube replacement schedule based on hours"
"Active Directory sync failure","IT Infrastructure","DNS record mismatch after a server migration","Update DNS records and verify the replication topology"
"Loud grinding noise from conveyor pulley","Maintenance","Seized bearing caused by contamination with grit","Replace bearing and install a heavy-duty taconite seal"
"Hydraulic cylinder leaking at the rod seal","Mechanical","Piston rod scoring caused by airborne particulates","Replace seal and install a rod wiper or protective bellow"
"Frequent tripping of the main breaker","Electrical","Harmonic distortion caused by multiple VFDs","Install line reactors on the VFDs and perform a power quality audit"
"Product oxidation in storage tank","Process","Nitrogen blanket pressure dropping below threshold","Repair the nitrogen regulator and install a low-pressure alarm"
"Slow backup speeds to offsite storage","IT Infrastructure","ISP bandwidth throttling during business hours","Schedule backups for off-peak hours or upgrade the WAN link"
"Air leak at pneumatic manifold","Maintenance","O-ring degradation due to high ambient temperature","Replace O-rings with high-temperature-rated fluorocarbon material"
"Cracked weld on structural support","Mechanical","Vibration-induced fatigue from a nearby vibrating screen","Repair the weld and install vibration dampening pads"
"Limit switch failure on overhead crane","Electrical","Physical damage from impact during high-speed operation","Relocate the limit switch and install a mechanical hard stop"
"Color variance in plastic extrusion","Process","Uneven heating in the extruder barrel zones","Check all heater bands and replace those with low resistance"
"Virtual machine failing to start","IT Infrastructure","ESXi host ran out of physical memory (RAM)","Migrate other VMs to a different host or increase the physical RAM"
"Oil leakage from a distribution transformer","Maintenance","Gasket failure on the high-voltage bushing","Replace bushing gaskets and top up the insulating oil"
"Broken drive belt on cooling fan","Mechanical","Belt slippage caused by oil contamination","Clean the pulleys and replace the belt with an oil-resistant type"
"Circuit breaker failing to close","Electrical","Mechanical trip mechanism stuck due to old grease","Clean the mechanism and apply a light coating of synthetic grease"
"Inconsistent flow from diaphragm pump","Process","Check valve stuck open by a small stone","Clean the check valve and install a suction strainer"
"Email server rejecting incoming mail","IT Infrastructure","Mailbox database has reached its storage quota","Expand the database storage and implement mail archiving"
"Exhaust fan motor running backwards","Electrical","Phase reversal during recent electrical maintenance","Swap two phases at the motor terminal to correct the rotation"
"Agitator shaft snapping at the coupling","Mechanical","Torsional stress from starting the agitator with solids at bottom","Revise startup SOP and ensure the tank is filled before starting"
"Steam leakage from a valve bonnet","Maintenance","Packing material dried out and shrunk","Tighten the packing nut or replace the valve packing"
"Incorrect data on the production dashboard","IT Infrastructure","OPC server lost connection to the field PLC","Restart the OPC service and verify the network path"
"Catalyst bed pressure drop increasing","Process","Fine particles clogging the catalyst support screen","Perform a screen backflush and inspect the feed filter"
"Bearing failure on high-speed blower","Mechanical","Improper mounting causing excessive preload","Replace bearing and use a precision mounting tool"
"Control cabinet overheating","Electrical","Cabinet cooling fan filter clogged with lint","Clean or replace the fan filter and check the thermostat"
"Loss of prime on suction-lift pump","Process","Small air leak in the suction pipe joint","Tighten all suction joints and apply a thread sealant"
"Printer unable to connect to the print server","IT Infrastructure","Stale IP reservation in the DHCP server","Release and renew the IP address or update the static reservation"
"Lubricant discoloration in main gearbox","Maintenance","High operating temperature causing oil oxidation","Check the oil cooler and consider switching to a synthetic oil"
"Conveyor rollers seizing up","Mechanical","Dust ingress into the non-sealed bearings","Replace rollers with a sealed-for-life bearing type"
"Motor brush sparking on DC motor","Electrical","Worn carbon brushes and dirty commutator","Replace brushes and resurface the commutator with a stone"
"pH sensor reading drifting rapidly","Process","Reference electrode depletion due to high temperature","Replace the pH probe with a high-temperature-grade version"
"Remote desktop connection failing","IT Infrastructure","Firewall rule blocking port 3389","Allow port 3389 in the Windows firewall and the network gateway"
"Cooling tower fan vibration high","Mechanical","Blade pitch misalignment causing aerodynamic imbalance","Adjust blade pitch to within 0.5 degrees and rebalance"
"Fuse blowing on 24V DC circuit","Electrical","Short circuit in a solenoid valve coil","Replace the solenoid valve and check the wiring for damage"
"Inaccurate gas flow measurement","Process","Liquid condensate trapping in the orifice plate impulse lines","Install condensate pots and slope the impulse lines correctly"
"Web server returning 502 Bad Gateway","IT Infrastructure","Backend application service has crashed","Restart the application service and check for memory leaks"
"Oil mist coming from vacuum pump exhaust","Maintenance","Exhaust filter element is saturated","Replace the exhaust filter and check the oil return line"
"Sheared key on motor drive shaft","Mechanical","Shock loading during a mechanical jam","Replace the key and install a shear pin coupling for protection"
"Proximity sensor failing to detect targets","Electrical","Sensor head covered in metallic dust","Clean the sensor head and install a protective shield"
"Unstable flame in the furnace","Process","Fluctuating fuel gas pressure from the main header","Install a local pressure regulator for the furnace burners"
"SCADA client losing connection frequently","IT Infrastructure","Weak Wi-Fi signal in the operator area","Install an additional Wi-Fi access point or use a wired connection"
"Leaking flange on high-pressure steam line","Maintenance","Bolts loosened due to thermal expansion and contraction","Perform a hot torque of the flange bolts"
"Broken spring on a safety relief valve","Mechanical","Stress corrosion cracking in a sour gas environment","Replace spring with an Inconel material suitable for H2S"
"Variable Frequency Drive (VFD) trip on undervoltage","Electrical","Large motor start-up on the same bus causing a voltage dip","Install a soft starter on the large motor or increase the VFD bus capacitance"
"Inconsistent product color from the mixer","Process","Mixing time too short for the specific pigment type","Increase the mixing time and verify the impeller speed"
"Active Directory user lockout issues","IT Infrastructure","Automated script using an old password","Identify the script source and update the stored credentials"
"Loose foundation bolts on a reciprocating compressor","Maintenance","Inadequate tightening during the last overhaul","Retighten bolts to the correct torque and use lock nuts"
"Fatigue crack in a centrifugal fan scroll","Mechanical","Acoustic resonance within the fan housing","Stiffen the housing with external ribs to change the resonant frequency"
"Corroded busbars in an outdoor MCC","Electrical","Moisture ingress and lack of space heaters","Install cabinet space heaters and apply a protective coating to the busbars"
"Filter cloth tearing in the belt press","Process","Excessive tension applied to the tracking rollers","Adjust the tracking sensor and reduce the pneumatic tension pressure"
"DNS resolution failing for internal sites","IT Infrastructure","Primary DNS server service is unresponsive","Restart the DNS service and check the secondary server sync"
"Grease leakage from a motor bearing","Maintenance","Over-greasing causing the seal to pop out","Follow the manufacturer's grease volume guidelines"
"Bearing housing overheating","Mechanical","Excessive grease volume causing churning","Remove the grease relief plug and allow excess grease to escape"
"Ground fault trip on a submersible pump","Electrical","Cable insulation damaged by abrasion against the well casing","Replace the cable and use cable protectors/centralizers"
"Loss of vacuum in a condenser","Process","Air ingress through a leaking gland on the condensate pump","Repair the pump gland and perform a helium leak test on the condenser"
"Slow application performance for remote users","IT Infrastructure","High latency on the VPN tunnel","Optimize the VPN encryption settings or use a split-tunneling policy"
"Noisy operation of a hydraulic gear pump","Maintenance","Air entering the suction line through a loose fitting","Tighten the suction fitting and inspect the suction hose for cracks"
"Broken teeth on a plastic drive gear","Mechanical","Operation at temperatures exceeding the material's limit","Replace with a metal gear or improve the local cooling"
"Intermittent failure of an infrared sensor","Electrical","Ambient light interference from a nearby window","Install an optical filter or shield the sensor from direct sunlight"
"Product contamination with metal shavings","Process","Internal wear of a rotary valve","Replace the rotary valve rotor and implement a magnetic separator"
"Unable to access the network file share","IT Infrastructure","Permissions were changed during a security audit","Restore the correct NTFS and Share permissions"
"Steam trap failing in the closed position","Maintenance","Internal orifice blocked by pipe scale and rust","Clean the steam trap and install a strainer upstream"
"Cracked pulley on a belt drive","Mechanical","Inproper installation using a hammer instead of a puller","Replace the pulley and use the correct tools for installation"
"Electric motor running on two phases","Electrical","One phase lost due to a loose terminal in the MCC","Clean and tighten the terminal connections in the MCC"
"Inaccurate temperature reading from a thermocouple","Process","Extension wire made of a different material than the thermocouple","Replace the extension wire with the correct compensating cable"
"Antivirus software slowing down the HMI","IT Infrastructure","Scanning of real-time database files","Exclude the SCADA database folders from the real-time scan"
"Oil leak from a hydraulic hose crimp","Maintenance","Hose was not fully inserted into the fitting before crimping","Replace the hose assembly with a properly crimped one"
"Vibration in a vertical turbine pump","Mechanical","Operating too close to the first critical speed","Change the pump speed or stiffen the motor support structure"
"Burnt out solenoid valve coil","Electrical","Voltage surge from a nearby lightning strike","Replace the coil and install a surge suppressor"
"High turbidity in the treated water","Process","Inadequate flocculant dosing due to a pump blockage","Clean the dosing pump and recalibrate the stroke length"
"Server failing to boot after a power outage","IT Infrastructure","Corrupted boot sector on the system drive","Repair the boot sector using the OS recovery environment"
"Leakage at a pipe union","Maintenance","Worn seating surfaces due to frequent disassembly","Replace the union and use a pipe sealant"
"Worn chain on a bucket elevator","Mechanical","Normal wear from handling abrasive materials","Replace the chain and install a dry film lubricant system"
"PLC output module failing frequently","Electrical","Inductive kickback from a DC solenoid without a diode","Install a flyback diode across the solenoid coil"
"Incorrect chemical concentration in a tank","Process","Failure of the concentration analyzer probe","Clean and recalibrate the analyzer probe or replace the membrane"
"Data corruption in the historian database","IT Infrastructure","Unscheduled server shutdown during a write operation","Perform a database repair and ensure the UPS is functional"
"Air compressor relief valve popping frequently","Maintenance","Pressure switch setpoint drifting upwards","Recalibrate the pressure switch and test the relief valve"
"Broken shaft on a small cooling fan","Mechanical","Imbalance caused by dust accumulation on the blades","Replace the fan and implement a quarterly cleaning schedule"
"Arcing in a high-voltage switchgear","Electrical","Partial discharge due to dust and moisture on insulators","Perform a professional cleaning and an ultrasonic discharge test"
"Product overflow from a hopper","Process","High-level switch failed to stop the conveyor","Replace the level switch and add a secondary backup sensor"
"SSL certificate expiration error","IT Infrastructure","Certificate was not renewed before the deadline","Renew the SSL certificate and set up automated reminders"
"Loosened coupling bolts","Maintenance","Lack of thread-locking compound","Clean the threads and apply a medium-strength thread locker"
"Excessive noise from a centrifugal fan","Mechanical","Loose fan wheel on the shaft","Tighten the set screws and check the keyway for wear"
"Inaccurate current reading on an ammeter","Electrical","Current transformer (CT) ratio misconfigured in the meter","Correct the CT ratio settings in the digital meter"
"Pump failing to meet the required head","Process","Internal recirculation due to a worn wear ring","Replace the pump wear rings to restore efficiency"
"Backup job failing with 'Media Not Found'","IT Infrastructure","Tape drive failure or dirty read/write heads","Clean the tape drive heads or replace the drive unit"
"Leaking gasket on a heat exchanger","Maintenance","Non-uniform tightening of the bolts","Replace the gasket and use a cross-pattern torquing sequence"
"Broken valve stem on a manual gate valve","Mechanical","Excessive force used to close a stuck valve","Replace the valve and implement a 'no-cheater-bar' policy"
"Intermittent PLC communication error","Electrical","EMI noise on the communication cable from a VFD","Use a shielded communication cable and route it away from power lines"
"High iron content in the process water","Process","Internal corrosion of the carbon steel piping","Replace critical piping with stainless steel or add a corrosion inhibitor"
"Operator unable to log into the SCADA system","IT Infrastructure","User account was locked after too many failed attempts","Unlock the account and verify the user's password"
"Slow air leak from a pneumatic fitting","Maintenance","Damaged thread on the fitting","Replace the fitting and use a high-quality thread tape"
"Cracked housing on a small gearbox","Mechanical","Internal pressure buildup due to a blocked breather","Replace the gearbox and clean the breather vent"
"Indicator lamp not working on the panel","Electrical","Blown incandescent bulb","Replace the bulb with a long-life LED version"
